COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;CONTRATO_COD
97;ARAVACA;9;MONCLOA - ARAVACA;433267,985;4478349,75;ETRS89;40,45313183;-3,78699702;CALLE;ESCULTOR PERESEJO;60;28023;ESCULTOR PERESEJO, 60-6 (PARQUE ARROYO POZUELO);20063772;AE21
44;GUINDALERA;4;SALAMANCA;444014,402;4477014,432;ETRS89;40,44189596;-3,66015131;AVENIDA;BRASILIA;6;28028;AVENIDA DE BRASILIA, 6;31026007;AE21
62;CUATRO CAMINOS;6;TETUAN;440796,973;4478265,171;ETRS89;40,4529403;-3,69820345;AVENIDA;GENERAL PERON;5;28020;;11029966;AE21
191;CASCO HISTORICO DE VICALVARO;19;VICALVARO;449242,72;4473418,808;ETRS89;40,40983985;-3,59821817;PASEO;POLIDEPORTIVO;144;28032;PASEO POLIDEPORTIVO, 000144;20154043;AE21
113;SAN ISIDRO;11;CARABANCHEL;438262,046;4471523,777;ETRS89;40,3920266;-3,72744206;CALLE;EL TOBOSO;25;28019;EL TOBOSO, 000025;11073134;AE21
182;SANTA EUGENIA;18;VILLA DE VALLECAS;448301,546;4470260,534;ETRS89;40,38133007;-3,60905371;CALLE;ZAZUAR;12;28031;ZAZUAR, 000012;31011883;AE21
182;SANTA EUGENIA;18;VILLA DE VALLECAS;448611,623;4469846,573;ETRS89;40,37762;-3,60536754;CALLE;POZA DE LA SAL;19;28031;POZA DE LA SAL, 000019;11131700;AE21
181;CASCO HISTORICO DE VALLECAS;18;VILLA DE VALLECAS;447019,825;4469328,459;ETRS89;40,3728528;-3,6240752;CALLE;BABILAFUENTE;1;28031;BABILAFUENTE, 000001;20170576;AE21
52;PROSPERIDAD;5;CHAMARTIN;443654,16;4478163,306;ETRS89;40,45222125;-3,66450074;CALLE;PADRE CLARET;38;28002;PARQUE RODIGUEZ DE LA FUENTE;31041818;AE21
124;ALMENDRALES;12;USERA;441061,856;4470414,013;ETRS89;40,38223207;-3,69435231;CALLE;AÑAFIL;14;28026;AÑAFIL, 000014;31009895;AE21
172;SAN CRISTOBAL;17;VILLAVERDE;441299,281;4466363,195;ETRS89;40,34575672;-3,69118255;CALLE;BENIFERRI;2;28021;BENIFERRI, 000002;11126150;AE21
52;PROSPERIDAD;5;CHAMARTIN;443204,749;4476943,933;ETRS89;40,44120596;-3,66969138;CALLE;CORAZON DE MARIA;18;28002;PARQUE PUERTA DE AMERICA;20120209;AE21
126;ZOFIO;12;USERA;439010,211;4469993,197;ETRS89;40,3782935;-3,71848076;AVENIDA;PRINCESA JUANA DE AUSTRIA;47;28021;AVDA PRINCESA JUANA DE AUSTRIA, 000047;20127260;AE21
85;LA PAZ;8;FUENCARRAL - EL PARDO;440597,409;4481480,158;ETRS89;40,48188794;-3,70085782;CALLE;PEDRO RICO;1;28029;PARQUE NORTE 3 (ANTONIO LOPEZ AGUADO);20103366;AE21
87;MIRASIERRA;8;FUENCARRAL - EL PARDO;438497,359;4482668,087;ETRS89;40,49243629;-3,72574854;CALLE;MARIA DE MAEZTU;108;28049;CALLE MARIA DE MAEZTU, 108 C/V SENDA DEL INFANTE;31052003;AE21
192;VALDEBERNARDO;19;VICALVARO;446968,129;4472539,445;ETRS89;40,40177619;-3,62495143;CALLE;LADERA DE LOS ALMENDROS;14E;28032;LADERA DE LOS ALMENDROS, 000014  E;20151600;AE21
192;VALDEBERNARDO;19;VICALVARO;447538,376;4471701,764;ETRS89;40,39426594;-3,61816273;AVENIDA;DEMOCRACIA;50;28031;AVDA DEMOCRACIA, 000050;20165254;AE21
183;ENSANCHE DE VALLECAS;18;VILLA DE VALLECAS;449416,792;4468380,836;ETRS89;40,36446482;-3,59576665;CALLE;MARIA TERESA LEON;1G;28051;MARÍA TERESA LEÓN, 000001  G;31026567;AE21
182;SANTA EUGENIA;18;VILLA DE VALLECAS;448854,008;4469974,395;ETRS89;40,37878642;-3,60252259;CALLE;POZA DE LA SAL;3;28031;POZA DE LA SAL, 000003;11131688;AE21
181;CASCO HISTORICO DE VALLECAS;18;VILLA DE VALLECAS;446970,232;4469259,493;ETRS89;40,37222835;-3,62465361;CALLE;BABILAFUENTE;2;28031;BABILAFUENTE, 000002;20170570;AE21
181;CASCO HISTORICO DE VALLECAS;18;VILLA DE VALLECAS;446183,7;4469509,077;ETRS89;40,37442636;-3,63393894;CARRETERA;VILLAVERDE A VALLECAS;289;28031;CTRA VILLAVERDE A VALLECAS, 000289;20180908;AE21
173;BUTARQUE;17;VILLAVERDE;442618,92;4466792,656;ETRS89;40,34971738;-3,67568386;AVENIDA;LOS ROSALES;116;28021;AVDA LOS ROSALES, 000116;31005158;AE21
181;CASCO HISTORICO DE VALLECAS;18;VILLA DE VALLECAS;446385,044;4468656,83;ETRS89;40,36676172;-3,63149564;CALLE;PERALES DEL RIO;14;28031;PERALES DEL RÍO, 000014;31042406;AE21
194;EL CAÑAVERAL;19;VICALVARO;452083,521;4472894,743;ETRS89;40,40528707;-3,56469902;CALLE;ALTO DEL ESPARRAGAL;214;28052;ALTO DEL ESPARRAGAL, 000214;31047359;AE21
44;GUINDALERA;4;SALAMANCA;444017,168;4476843,826;ETRS89;40,44035924;-3,66010367;AVENIDA;BRASILIA;4;28028;PARQUE LAS AVENIDAS;31026006;AE21
145;FONTARRON;14;MORATALAZ;444361,494;4473025,978;ETRS89;40,40598907;-3,65570985;AVENIDA;MORATALAZ;54;28030;AVDA MORATALAZ, 000054;20152921;AE21
